Círculo,-0.136467,-0.257621,0.703279,0.735755,1.45527,0.608302,-4.44222
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,-0.0746336,-0.125645,10,10,10,10,-10
Círculo,0.60206,1.45939,10,10,10,-10,10
Círculo,0.516375,1.20055,2.63668,3.66667,-6.81806,-4.26694,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,-0.368803,-0.725468,-0.535007,-0.530573,-1.06336,-0.891892,1.94259
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,0.347002,0.759959,2.85749,3.83935,-7.18709,-4.21932,-10
Círculo,10,10,10,10,10,10,10
Círculo,-0.0819684,-0.127615,0.36451,0.442047,0.845491,0.407874,2.40521
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,-0.858253,-1.67775,-1.58851,-0.897852,-1.81076,-0.555462,2.0875
Círculo,0.653213,1.90849,2.26067,3.65861,-6.61806,-4.61285,-9.99995
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Círculo,10,10,10,10,10,10,10
Triángulo,-0.756022,-1.51092,-0.067946,-0.0389698,-0.09242,-0.787678,2.1333
Triángulo,10,10,10,10,10,10,10
Triángulo,0.686636,1.89906,2.80248,3.55648,6.76817,4.55007,7.16407
Triángulo,-0.779272,-1.55671,-1.61058,-1.6111,-3.22194,-2.38945,-1.6258
Triángulo,10,10,10,10,10,10,10
Triángulo,0.60206,1.45939,10,10,10,10,-10
Triángulo,10,10,10,10,10,10,10
Triángulo,-0.595476,-1.19017,4.4279,5.38244,-9.81939,-4.78736,-10
Triángulo,0.680033,2.96688,2.1978,4.066,7.60588,6.08398,-7.23284
Triángulo,10,10,10,10,10,10,10
Triángulo,-0.686676,-1.35487,-1.49301,-1.2321,-2.5858,-1.82882,1.89541
Triángulo,10,10,10,10,10,10,10
Triángulo,0.713293,3.30032,2.35214,4.97457,-8.66304,-6.62468,-8.95799
Triángulo,-1.21745,-2.43438,-1.59916,-1.56836,-3.15211,-2.77827,0.989009
Triángulo,10,10,10,10,10,10,10
Triángulo,-0.626998,-1.25079,-0.924764,-0.922498,-1.84613,-1.54713,2.13733
Triángulo,10,10,10,10,10,10,10
Triángulo,-0.989205,-0.482662,-2.96159,-2.1793,4.61056,-2.15432,4.58729
Triángulo,-0.506175,-0.999403,-0.244821,-0.0674691,-0.220986,-0.542632,-0.736278
Triángulo,-0.217755,-0.429663,0.918736,0.927126,1.85006,0.714147,-4.98653
Triángulo,10,10,10,10,10,10,10
Triángulo,0.60206,1.45939,10,10,10,10,10
Triángulo,10,10,10,10,10,10,10
Triángulo,10,10,10,10,10,10,10
Triángulo,-0.0441083,-0.0612226,0.206955,0.235332,0.456477,0.204903,-2.997
Triángulo,10,10,10,10,10,10,10
Triángulo,0.653213,1.90849,2.26067,3.65861,-6.61807,-4.61285,-9.99953
Triángulo,10,10,10,10,10,10,10
Triángulo,10,10,10,10,10,10,10
Triángulo,0.778151,10,10,10,10,-10,10
Triángulo,10,10,10,10,10,10,10
Triángulo,0.450792,1.0103,10,10,10,10,-10
Triángulo,0.653213,1.90849,2.26067,3.65861,-6.61806,-4.61285,9.99991
Triángulo,10,10,10,10,10,10,10
Triángulo,10,10,10,10,10,10,10
